winnowing_similarity,shared_fragment_coverage,token_overlap_ratio,ast_depth_difference,fingerprint_jaccard,small_kgram_jaccard,node_type_cosine,token_sequence_ratio,length_ratio,label,file_a,file_b
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,data\max_in_list__snip_20\variant_1.py,data\max_in_list__snip_20\variant_3.py
0.125,0.22981974921630094,0.05389221556886228,0.0,0.04918032786885246,0.216,0.9460921288494379,0.5,0.7586206896551724,0,data\fibonacci__snip_13\variant_3.py,data\fibonacci__snip_17\variant_4.py
0.7777777777777778,0.8798982188295166,0.6097560975609756,0.0,0.6176470588235294,0.7,0.9985115783015931,0.9699248120300752,0.9703703703703703,1,data\is_prime__snip_08\variant_2.py,data\is_prime__snip_08\variant_4.py
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,data\reverse_string__snip_01\variant_2.py,data\reverse_string__snip_01\variant_3.py
0.0,0.0,0.0,0.1,0.0,0.05555555555555555,0.9263021005265166,0.3877551020408163,0.6065573770491803,0,data\is_palindrome__snip_10\original.py,data\max_in_list__snip_09\variant_1.py
0.0,0.0,0.0,0.2,0.0,0.0273972602739726,0.8014871297884196,0.1348314606741573,0.1608695652173913,0,data\max_in_list__snip_13\original.py,data\is_palindrome__snip_07\variant_4.py
0.0,0.0,0.0,0.1111111111111111,0.0,0.10869565217391304,0.9580646900044931,0.5466666666666666,1.0,0,data\fibonacci__snip_03\variant_1.py,data\max_in_list__snip_20\variant_1.py
0.0,0.0,0.0,0.2,0.0,0.10294117647058823,0.9240586136607708,0.5753424657534246,1.0,0,data\reverse_string__snip_19\variant_3.py,data\reverse_string__snip_12\variant_4.py
0.7578947368421053,0.9244931585357117,0.574750830564784,0.0,0.5950413223140496,0.7006369426751592,0.999056790360309,0.9637305699481865,0.9494949494949495,1,data\fibonacci__snip_09\original.py,data\fibonacci__snip_09\variant_4.py
0.15625,0.5259923175416134,0.07236842105263158,0.3076923076923077,0.07936507936507936,0.2912621359223301,0.933174542488713,0.5793650793650794,0.7746478873239436,0,data\is_prime__snip_13\variant_4.py,data\is_prime__snip_05\variant_4.py
0.0,0.0,0.0,0.125,0.0,0.08571428571428572,0.9813531130373357,0.6349206349206349,0.9090909090909091,0,data\max_in_list__snip_10\original.py,data\reverse_string__snip_03\variant_4.py
0.0,0.0,0.0,0.3,0.0,0.0375,0.8725951888603644,0.3697478991596639,0.5657894736842105,0,data\max_in_list__snip_06\variant_3.py,data\max_in_list__snip_05\variant_4.py
0.0,0.0,0.0,0.2222222222222222,0.0,0.14516129032258066,0.9419478014850137,0.5316455696202531,0.926829268292683,0,data\max_in_list__snip_09\variant_4.py,data\is_palindrome__snip_14\variant_3.py
1.0,1.0,1.0,0.0,1.0,1.0,1.0000000000000002,1.0,1.0,1,data\reverse_string__snip_10\variant_1.py,data\reverse_string__snip_10\variant_4.py
1.0,1.0,1.0,0.0,1.0,1.0,1.0000000000000002,1.0,1.0,1,data\max_in_list__snip_18\original.py,data\max_in_list__snip_18\variant_1.py
0.0,0.0,0.0,0.1111111111111111,0.0,0.05747126436781609,0.9494972454883972,0.4027777777777778,0.6179775280898876,0,data\fibonacci__snip_14\original.py,data\max_in_list__snip_15\variant_2.py
0.0,0.0,0.0,0.3,0.0,0.05970149253731343,0.8633933843676542,0.4,0.4583333333333333,0,data\max_in_list__snip_05\variant_2.py,data\max_in_list__snip_02\original.py
0.0,0.0,0.0,0.1111111111111111,0.0,0.04065040650406504,0.7143128981754422,0.46994535519125685,0.7941176470588235,0,data\is_prime__snip_13\variant_1.py,data\fibonacci__snip_07\variant_1.py
0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.8964636334558151,0.27906976744186046,0.4659090909090909,0,data\fibonacci__snip_16\variant_1.py,data\max_in_list__snip_13\variant_4.py
0.0,0.0,0.0,0.3,0.0,0.0425531914893617,0.8976158898517148,0.3357664233576642,0.3979591836734694,0,data\max_in_list__snip_08\variant_2.py,data\max_in_list__snip_06\variant_4.py
